/usr/sbin/mysqld, Version: 8.0.27 (MySQL Community Server - GPL). started with:
Tcp port: 3306  Unix socket: /var/run/mysqld/mysqld.sock
Time                 Id Command    Argument
2021-12-30T05:40:49.459859Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("92","92","53116")
2021-12-30T05:40:49.495087Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:49.495521Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("93","93","86597")
2021-12-30T05:40:49.502195Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:49.502615Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("94","94","5573")
2021-12-30T05:40:49.505267Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:49.505740Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("95","95","50891")
2021-12-30T05:40:49.508311Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:49.508736Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("96","96","64344")
2021-12-30T05:40:49.558913Z	 8270 Query	SELECT @@session.transaction_read_only
